Id,Time[ns],SD card (SD mode): Decoded fields,SD card (SD mode): Fields,SD card (SD mode): Commands
1,693855640.00,,Start bit,CMD0 (GO_IDLE_STATE): Reset all SD cards
2,693855664.00,,Transmission: host,
3,693855680.00,,Command: GO_IDLE_STATE (0),
4,693855800.00,Stuff bits,Argument: 0x0002005f,
5,693856712.00,,CRC: 0x0,
6,693857056.00,,End bit,
7,1023217008.00,,Start bit,CMD62 (Reserved for manufacturer): CMD62
8,1023217112.00,,Transmission: host,
9,1023217128.00,,Command: Reserved for manufacturer (62),
10,1023217248.00,,Argument: 0x10000020,
11,1023217960.00,,CRC: 0x0,
12,1023218104.00,,End bit,
13,1023218368.00,,Start bit,Response: R1
14,1023218408.00,,Transmission: card,
15,1023218448.00,,Command: GO_IDLE_STATE (0),
16,1023218712.00,Card status,Argument: 0x00000000,
17,1026674376.00,,CRC: 0x0,
18,1026674800.00,,End bit,
19,1211842992.00,,Start bit,CMD60 (Reserved for manufacturer): CMD60
20,1211843008.00,,Transmission: host,
21,1211843032.00,,Command: Reserved for manufacturer (60),
22,1211843152.00,,Argument: 0x18000040,
23,1211843864.00,,CRC: 0x4,
24,1211844112.00,,End bit,
25,1211844192.00,,Start bit,CMD0 (GO_IDLE_STATE): Reset all SD cards
26,1211844216.00,,Transmission: host,
27,1211844256.00,,Command: GO_IDLE_STATE (0),
28,1211844560.00,Stuff bits,Argument: 0x00000000,
29,1215102872.00,,CRC: 0x0,
30,1215103320.00,,End bit,
31,1339034544.00,,Start bit,CMD56 (GEN_CMD): CMD56
32,1339034624.00,,Transmission: host,
33,1339034648.00,,Command: GEN_CMD (56),
34,1339034808.00,,Argument: 0x00000000,
35,1342464416.00,,CRC: 0x0,
36,1342464600.00,,End bit,
37,1342464640.00,,Start bit,Response: R1
38,1342464664.00,,Transmission: card,
39,1342464680.00,,Command: GO_IDLE_STATE (0),
40,1342464848.00,Card status,Argument: 0x00000000,
41,1342465968.00,,CRC: 0x0,
42,1342466256.00,,End bit,
43,1391973928.00,,Start bit,CMD0 (GO_IDLE_STATE): Reset all SD cards
44,1391973952.00,,Transmission: host,
45,1391973992.00,,Command: GO_IDLE_STATE (0),
46,1391974112.00,Stuff bits,Argument: 0x00010007,
47,1391974928.00,,CRC: 0x40,
48,1391975232.00,,End bit,
49,1483814840.00,,Start bit,CMD60 (Reserved for manufacturer): CMD60
50,1483814944.00,,Transmission: host,
51,1483814960.00,,Command: Reserved for manufacturer (60),
52,1483815104.00,,Argument: 0x40000100,
53,1483815832.00,,CRC: 0x1,
54,1483816040.00,,End bit,
55,1483816200.00,,Start bit,Response: R1
56,1483816240.00,,Transmission: card,
57,1483816304.00,,Command: GO_IDLE_STATE (0),
58,1487137704.00,Card status,Argument: 0x00000000,
59,1487138520.00,,CRC: 0x0,
60,1487138968.00,,End bit,
61,1497533928.00,,Start bit,CMD0 (GO_IDLE_STATE): Reset all SD cards
62,1497533968.00,,Transmission: host,
63,1497533992.00,,Command: GO_IDLE_STATE (0),
64,1497534112.00,Stuff bits,Argument: 0x00d00000,
65,1501589912.00,,CRC: 0x0,
66,1501590136.00,,End bit,
67,1779968896.00,,Start bit,CMD60 (Reserved for manufacturer): CMD60
68,1779968936.00,,Transmission: host,
69,1779968976.00,,Command: Reserved for manufacturer (60),
