Id,Time[ns],SD card (SD mode): Raw bits,SD card (SD mode): Decoded bits,SD card (SD mode): Decoded fields,SD card (SD mode): Fields,SD card (SD mode): Commands
1,209718192.00,0,,,Start bit,CMD32 (ERASE_WR_BLK_START): CMD32
2,209718208.00,1,,,Transmission: host,
3,209718232.00,1,,,Command: ERASE_WR_BLK_START (32),
4,209718272.00,0,,,,
5,209718312.00,0,,,,
6,209718352.00,0,,,,
7,209718376.00,0,,,,
8,209718392.00,0,,,,
9,209718416.00,0,,,Argument: 0x00000000,
10,209718432.00,0,,,,
11,209718456.00,0,,,,
12,209718496.00,0,,,,
13,209718536.00,0,,,,
14,209718560.00,0,,,,
15,209718576.00,0,,,,
16,209718600.00,0,,,,
17,209718616.00,0,,,,
18,209718640.00,0,,,,
19,209718656.00,0,,,,
20,209718680.00,0,,,,
21,209718696.00,0,,,,
22,209718720.00,0,,,,
23,209718760.00,0,,,,
24,209718800.00,0,,,,
25,209718840.00,0,,,,
26,209718864.00,0,,,,
27,209718880.00,0,,,,
28,209718904.00,0,,,,
29,209718920.00,0,,,,
30,209718984.00,0,,,,
31,209719024.00,0,,,,
32,209719064.00,0,,,,
33,209719104.00,0,,,,
34,209719144.00,0,,,,
35,209719168.00,0,,,,
36,209719184.00,0,,,,
37,210166376.00,0,,,,
38,210166416.00,0,,,,
39,210166456.00,0,,,,
40,210166496.00,0,,,,
41,210166536.00,0,,,CRC: 0x0,
42,210166576.00,0,,,,
43,210166600.00,0,,,,
44,210166616.00,0,,,,
45,210166640.00,0,,,,
46,210166656.00,0,,,,
47,210166680.00,0,,,,
48,210166696.00,0,,,End bit,
49,210166760.00,0,,,Start bit,Response: R1
50,210166800.00,0,,,Transmission: card,
51,210166840.00,0,,,Command: GO_IDLE_STATE (0),
52,210166904.00,0,,,,
53,210166920.00,0,,,,
54,210166944.00,0,,,,
55,210166960.00,0,,,,
56,210166984.00,0,,,,
57,210167064.00,0,OUT_OF_RANGE,Card status,Argument: 0x00000000,
58,210167144.00,0,ADDRESS_ERROR,,,
59,210167168.00,0,BLOCK_LEN_ERROR,,,
60,210167224.00,0,ERASE_SEQ_ERROR,,,
61,210167248.00,0,ERASE_PARAM,,,
62,210167472.00,0,WP_VIOLATION,,,
63,210167512.00,0,CARD_IS_LOCKED,,,
64,210167552.00,0,LOCK_UNLOCK_FAILED,,,
65,210167592.00,0,COM_CRC_ERROR,,,
66,210167632.00,0,ILLEGAL_COMMAND,,,
67,210167672.00,0,CARD_ECC_FAILED,,,
68,210167712.00,0,CC_ERROR,,,
69,210167736.00,0,ERROR,,,
70,210167752.00,0,Reserved,,,
71,210167776.00,0,Reserved for DEFERRED_RESPONSE,,,
72,210167816.00,0,CSD_OVERWRITE,,,
73,210167856.00,0,WP_ERASE_SKIP,,,
74,210167896.00,0,CARD_ECC_DISABLED,,,
75,210167936.00,0,ERASE_RESET,,,
76,210167976.00,0,CURRENT_STATE,,,
77,210168040.00,0,,,,
78,210168080.00,0,,,,
79,210168160.00,0,,,,
80,210168200.00,0,READY_FOR_DATA,,,
81,210168240.00,0,RSVD,,,
82,210168280.00,0,FX_EVENT,,,
83,210168344.00,0,APP_CMD,,,
84,210168384.00,0,Reserved for SDIO card,,,
85,210168424.00,0,AKE_SEQ_ERROR,,,
86,210168912.00,0,Reserved for application specific commands,,,
87,210169216.00,0,Reserved for manufacturer test mode,,,
88,210170168.00,0,,,,
89,210170512.00,0,,,CRC: 0x0,
90,210171160.00,0,,,,
91,210171544.00,0,,,,
92,210172616.00,0,,,,
93,210175424.00,0,,,,
94,210181336.00,0,,,,
95,210183184.00,0,,,,
96,210183408.00,0,,,End bit,
97,215990400.00,0,,,Start bit,CMD32 (ERASE_WR_BLK_START): CMD32
98,215990464.00,1,,,Transmission: host,
99,215990504.00,1,,,Command: ERASE_WR_BLK_START (32),
100,215990544.00,0,,,,
101,215990584.00,0,,,,
102,215990624.00,0,,,,
103,215990768.00,0,,,,
104,215990808.00,0,,,,
105,220220304.00,0,,,Argument: 0x00000000,
106,220220344.00,0,,,,
107,220220368.00,0,,,,
108,220220408.00,0,,,,
109,220220424.00,0,,,,
110,220220448.00,0,,,,
111,220220464.00,0,,,,
112,220220488.00,0,,,,
113,220220504.00,0,,,,
114,220220528.00,0,,,,
115,220220568.00,0,,,,
116,220220608.00,0,,,,
117,220220648.00,0,,,,
118,220220688.00,0,,,,
119,220220712.00,0,,,,
120,220220728.00,0,,,,
121,220220752.00,0,,,,
122,220220792.00,0,,,,
123,220220808.00,0,,,,
124,220220832.00,0,,,,
125,220220872.00,0,,,,
126,220220912.00,0,,,,
127,220220952.00,0,,,,
128,220220992.00,0,,,,
129,220221032.00,0,,,,
130,220221072.00,0,,,,
131,220221096.00,0,,,,
132,220221112.00,0,,,,
133,220221152.00,0,,,,
134,220221216.00,0,,,,
135,220221416.00,0,,,,
136,220221440.00,0,,,,
137,220221456.00,0,,,CRC: 0x0,
138,220221480.00,0,,,,
139,220221496.00,0,,,,
140,220221600.00,0,,,,
141,220221640.00,0,,,,
142,220221680.00,0,,,,
143,220221720.00,0,,,,
144,220221760.00,0,,,End bit,
145,220221840.00,0,,,Start bit,Response: R1
146,220221864.00,0,,,Transmission: card,
147,220221880.00,0,,,Command: GO_IDLE_STATE (0),
148,220221904.00,0,,,,
149,220221944.00,0,,,,
150,220222024.00,0,,,,
151,220222064.00,0,,,,
152,220222104.00,0,,,,
153,220222144.00,0,OUT_OF_RANGE,Card status,Argument: 0x00000000,
154,220222184.00,0,ADDRESS_ERROR,,,
155,220222224.00,0,BLOCK_LEN_ERROR,,,
156,220260040.00,0,ERASE_SEQ_ERROR,,,
157,220260080.00,0,ERASE_PARAM,,,
158,220260104.00,0,WP_VIOLATION,,,
