Id,Time[ns],SD card (SD mode): Raw bits,SD card (SD mode): Decoded fields,SD card (SD mode): Fields,SD card (SD mode): Commands
1,2544313360.00,0,,Start bit,CMD0 (GO_IDLE_STATE): Reset all SD cards
2,2544313384.00,1,,Transmission: host,
3,2544313424.00,0,,Command: GO_IDLE_STATE (0),
4,2544313488.00,0,,,
5,2544313528.00,0,,,
6,2544313568.00,0,,,
7,2544313608.00,0,,,
8,2544313648.00,0,,,
9,2544313688.00,0,Stuff bits,Argument: 0x00000000,
10,2544313712.00,0,,,
11,2544313728.00,0,,,
12,2544313752.00,0,,,
13,2544313768.00,0,,,
14,2544313792.00,0,,,
15,2544313808.00,0,,,
16,2544313832.00,0,,,
17,2544313848.00,0,,,
18,2544313872.00,0,,,
19,2544313912.00,0,,,
20,2544313952.00,0,,,
21,2544313992.00,0,,,
22,2544314032.00,0,,,
23,2544314056.00,0,,,
24,2544314072.00,0,,,
25,2544314096.00,0,,,
26,2544314112.00,0,,,
27,2544314136.00,0,,,
28,2544314216.00,0,,,
29,2544314256.00,0,,,
30,2544314296.00,0,,,
31,2544314336.00,0,,,
32,2544314360.00,0,,,
33,2544314376.00,0,,,
34,2545491016.00,0,,,
35,2545491056.00,0,,,
36,2545491096.00,0,,,
37,2545491136.00,0,,,
38,2545491160.00,0,,,
39,2545491176.00,0,,,
40,2545491200.00,0,,,
41,2545491216.00,0,,CRC: 0x0,
42,2545491240.00,0,,,
43,2545491256.00,0,,,
44,2545491280.00,0,,,
45,2545491296.00,0,,,
46,2545491320.00,0,,,
47,2545491336.00,0,,,
48,2545491360.00,0,,End bit,
